"","Sex","Con","COVID","Age","NivEco","Educ","GenRecod","Ideology1","Ideology2","IdePol","ExtMod","Homphily","Bias","skill","Global","EC","CA","DPol","EcoCount","Citizen","SC0"
"1","Male",0,1,1,2,4,"Male","Ninguno","Ninguno","0","Ninguno",24,21,21,14,22,5,7,50,69,5
"2","Male",1,1,1,4,3,"Male","Ninguno","Ninguno","0","Ninguno",23,19,17,10,16,4,5,46,52,5
"3","Female",1,1,1,2,4,"Female","Centro","Centro","1","0",3,3,5,7,12,8,4,7,36,4
"4","Female",0,1,1,3,4,"Female","Ninguno","Ninguno","0","Ninguno",15,15,15,11,20,8,3,31,57,4
"5","Female",0,1,1,4,4,"Female","Ninguno","Ninguno","0","Ninguno",23,13,19,12,21,5,5,43,62,5
"6","Male",0,1,1,3,4,"Male","Ninguno","Ninguno","0","Ninguno",24,22,20,6,14,2,6,52,48,4
"7","Female",0,0,1,4,4,"Female","Ninguno","Ninguno","0","Ninguno",29,23,21,12,22,9,10,58,74,4
"8","Female",0,1,1,1,4,"Female","Ninguno","Ninguno","0","Ninguno",21,15,18,13,24,7,13,43,75,4
"9","Female",0,1,1,3,4,"Female","Centro-Izquierda","Izquierda","1","0",22,8,20,14,20,7,10,34,71,6
"10","Male",0,1,1,3,3,"Male","Ninguno","Ninguno","0","Ninguno",30,6,19,14,26,4,9,37,72,3
"11","Female",0,1,1,2,3,"Female","Centro-Izquierda","Izquierda","1","0",17,12,19,11,21,11,7,33,69,4
"12","Female",0,1,1,4,3,"Female","Centro","Centro","1","0",28,18,21,14,17,7,9,47,68,5
"13","Female",0,1,1,4,3,"Female","Centro","Centro","1","0",23,16,17,13,27,9,7,44,73,3
"14","Female",0,1,1,4,3,"Female","Ninguno","Ninguno","0","Ninguno",24,13,17,9,18,5,7,40,56,4
"15","Male",1,1,1,4,4,"Male","Centro-Derecha","Derecha","1","0",25,18,20,12,10,2,4,45,48,6
"16","Female",0,1,2,4,5,"Female","Centro-Izquierda","Izquierda","1","1",19,17,21,14,20,12,12,38,79,4
"17","Female",1,0,2,3,4,"Female","Ninguno","Ninguno","0","Ninguno",30,19,21,10,16,9,9,56,65,2
"18","Male",1,0,1,1,3,"Male","Centro-Izquierda","Izquierda","1","1",5,8,17,12,23,10,14,14,76,6
"19","Female",1,1,1,3,3,"Female","Centro-Izquierda","Izquierda","1","0",23,18,21,11,10,4,5,47,51,6
