"","Age","NivEco","Genre","Genre_3_TEXT","Educ","Homo_1","Homo_2","Homo_3","Homo_4","Homo_5","Homo_6","Homo_7","DigiCit_1","DigiCit_2","DigiCit_3","DigiCit_4","DigiCit_5","DigiCit_6","DigiCit_7","DigiCit_8","DigiCit_9","DigiCit_10","DigiCit_11","DigiCit_12","DigiCit_13","DigiCit_14","IdePol","Ideolo_1","E2TC_1","E2TC_2","E2TC_3","E2TC_4","E2TC_5","E2TC_6","E2TC_7","E2TC_8","E2TC_9","E2TC_10","E2TC_11","E2TC_12","E2TC_DO","E2T1a_1","E2T1a_2","E2T1a_3","E2T1a_4","E2T1a_5","E2T1a_6","E2T1a_7","E2T1a_DO","E2T1a_ADO","E2T1b_1","E2T1b_2","E2T1b_3","E2T1b_4","E2T1b_5","E2T1b_6","E2T1b_7","E2T1b_DO","E2T1c_1","E2T1c_2","E2T1c_3","E2T1c_4","E2T1c_5","E2T1c_6","E2T1c_7","E2T1c_DO","E2T1d_1","E2T1d_2","E2T1d_3","E2T1d_4","E2T1d_5","E2T1d_6","E2T1d_7","E2T1d_DO","E2T1d_ADO","E2T2a_1","E2T2a_2","E2T2a_3","E2T2a_4","E2T2a_5","E2T2a_6","E2T2a_7","E2T2a_DO","E2T2a_ADO","E2T2b_1","E2T2b_2","E2T2b_3","E2T2b_4","E2T2b_5","E2T2b_6","E2T2b_7","E2T2b_8","E2T2b_9","E2T2b_10","E2T2b_11","E2T2b_12","E2T2b_DO","E2T2c_1","E2T2c_2","E2T2c_3","E2T2c_4","E2T2c_5","E2T2c_6","E2T2c_7","E2T2c_DO","E2T2c_ADO","end_4","SC0"
"1","1","2","1","","4","5","8","8","6","8","8","7","7","7","7","7","7","7","6","5","4","3","2","3","3","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","1","1","4|1|7|6|2|5|3","2|1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","5"
"2","1","4","1","","3","4","7","8","7","5","8","7","7","7","3","5","5","4","3","5","4","1","3","1","3","1","0","","2","","1","1","","","1","","1","2","","2","9|1|3|4|7|12|10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","5"
"3","1","3","2","","5","1","4","6","4","5","4","5","7","7","7","7","5","6","5","6","5","6","4","5","5","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","1","2","","1","","1","2","","8|10|11|5|3|2|6","","","","","","","","","","92","5"
"4","1","2","2","","4","1","1","1","1","1","1","1","2","2","1","3","4","5","3","2","2","5","3","2","1","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","2","2","2","1","","","","2","","3|7|4|5|6|1|11","","","","","","","","","","68","4"
"5","1","3","2","","4","1","5","5","5","5","5","5","7","4","4","4","7","5","5","5","5","4","4","1","1","1","0","","1","","1","1","1","","","1","1","","","1","12|9|3|5|4|1|8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","4"
"6","1","4","2","","4","7","7","8","5","4","8","4","7","7","5","6","6","6","5","5","5","2","3","2","2","1","0","","1","","1","","","","1","","2","2","1","2","12|1|3|11|10|9|7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","5"
"7","1","3","1","","4","6","8","8","5","9","8","8","7","7","6","4","2","5","1","4","4","1","1","2","1","3","0","","1","","1","1","","","1","2","1","","","2","1|9|12|7|8|3|4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","4"
"8","1","4","2","","4","6","10","10","10","6","9","7","7","7","7","6","6","5","5","6","6","5","4","2","4","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","2","2","2","1|2|4|7|6|5|3","2|1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","4"
"9","1","1","2","","4","7","7","7","5","5","7","5","6","6","6","6","7","6","6","6","6","4","3","3","5","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","4|5|6|3|7|1|2","1|2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","4"
"10","1","3","2","","4","4","6","8","2","3","8","3","7","7","6","7","7","6","5","5","4","5","2","5","1","4","1","4","","","","","","","","","","","","","","1","1","1","1","1","2","2","1|2|3|4|5|6|7","1|2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","6"
